fecha|hora|magnitud|profundidad|provincia
2018/06/11|11:24:14|3.6|61.39|El Oro 
2018/06/11|10:43:32|3.6|10.00|Sta Elena 
2018/06/08|19:15:45|4.9|0.00|Galapagos 
2018/06/08|11:59:00|3.2|4.73|Galapagos 
2018/06/08|11:59:35|3.3|2.67|Galapagos 
2018/06/06|01:44:19|2.8|2.69|Galapagos 
2018/06/04|16:15:03|3.5|4.69|Galapagos 
2018/06/04|15:36:02|2.7|4.58|Galapagos 
2018/06/04|13:22:35|3.2|18.54|Galapagos 
2018/06/04|13:07:31|2.7|8.02|Galapagos 
2018/06/02|20:51:54|3.3|4.81|Pichincha 
2018/05/30|08:40:38|2.7|4.00|Galapagos 
2018/05/27|14:58:31|4.3|27.83|Guayas 
2018/05/27|08:56:26|3.8|4.88|Galapagos 
2018/05/25|02:41:01|4.1|6.73|Manabi 
2018/05/24|16:57:18|3.6|18.01|Manabi 
2018/05/24|15:21:50|2.2|6.21|Tungurahua 
2018/05/24|15:04:17|2.7|9.16|Tungurahua 
2018/05/23|21:21:46|3.8|10.00|Manabi 
2018/05/22|08:37:41|4|3.25|Imbabura 
2018/05/21|17:04:45|4.2|14.74|Galapagos 
2018/05/20|22:31:09|3.7|34.13|El Oro 
2018/05/20|11:17:00|3.5|6.85|Esmeraldas 
2018/05/20|04:06:15|3.9|3.96|Manabi 
2018/05/17|10:44:12|4.1|4.29|Manabi 
2018/05/16|03:43:59|4.1|10.00|Manabi 
2018/05/12|12:50:01|3.6|155.28|Pastaza 
2018/05/09|05:59:31|3.5|5.17|Galapagos 
2018/05/08|23:40:50|4.1|11.89|Galapagos 
2018/05/08|04:07:20|3.1|4.91|Galapagos 
2018/05/06|16:31:53|3.7|6.60|Esmeraldas 
2018/05/04|18:40:40|3.5|16.10|Guayas 
2018/04/28|22:25:18|3.4|8.76|Galapagos 
2018/04/28|22:33:40|4.2|6.66|Galapagos 
2018/04/28|16:39:56|3.7|0.90|Galapagos 
2018/04/27|10:01:51|3.2|0.28|Galapagos 
2018/04/26|23:36:30|5.5|10.00|Manabi 
2018/04/25|03:49:52|3.6|5.15|Sta Elena 
2018/04/23|20:55:41|3.7|6.00|Manabi 
2018/04/23|19:58:40|5|4.96|Manabi 
2018/04/22|19:04:13|3.7|2.75|Manabi 
2018/04/22|18:29:21|4.3|3.00|Manabi 
2018/04/18|07:44:20|3.7|179.43|Pastaza 
2018/04/16|04:01:27|2.7|7.74|Galapagos 
2018/04/15|22:03:51|4.2|10.00|Guayas 
2018/04/15|19:30:07|3.8|136.33|Morona Stgo 
2018/04/14|21:51:52|2.6|5.87|Galapagos 
2018/04/12|16:44:27|3.6|10.00|Guayas 
2018/04/11|11:30:19|4.6|8.57|Guayas 
2018/04/11|05:41:26|4|5.34|Galapagos 
2018/04/10|20:24:27|4.3|5.83|Bolivar 
2018/04/09|19:00:23|2.6|7.56|Tungurahua 
2018/04/06|22:13:42|3.9|75.84|Guayas 
2018/04/06|07:44:39|3.1|4.00|Galapagos 
2018/04/06|07:21:00|4.2|2.42|Galapagos 
2018/04/04|23:43:43|3.5|6.97|Manabi 
2018/04/04|03:24:21|3.6|10.00|Tungurahua 
2018/04/03|02:44:24|3.6|6.52|Carchi 
2018/04/02|20:15:22|4.2|3.02|Pichincha 
2018/03/30|19:25:05|3.3|7.65|Galapagos 
2018/03/28|07:55:48|4|4.91|Manabi 
2018/03/26|12:32:43|3.7|3.22|Carchi 
2018/03/25|12:46:23|3.4|3.84|Carchi 
2018/03/24|19:55:56|4.3|10.00|Guayas 
2018/03/22|19:24:33|4|10.19|Galapagos 
2018/03/22|09:02:56|3.8|38.15|Guayas 
2018/03/22|04:26:06|3.6|5.00|Carchi 
2018/03/21|19:27:53|3.5|6.00|Manabi 
2018/03/21|16:21:24|3.7|1.58|Carchi 
2018/03/21|15:44:26|4|2.12|Carchi 
2018/03/21|11:42:37|3.9|1.84|Manabi 
2018/03/21|03:34:14|3.7|36.31|Guayas 
2018/03/20|17:44:08|3.4|1.00|Galapagos 
2018/03/14|07:41:39|4.5|0.30|Galapagos 
2018/03/12|22:13:09|3.8|53.04|Esmeraldas 
2018/03/11|17:08:19|5|20.23|Galapagos 
2018/03/09|22:09:41|4.8|20.00|Sta Elena 
2018/03/08|21:56:48|3.8|8.76|Cotopaxi 
2018/03/07|21:45:31|3.7|1.19|Pastaza 
2018/03/07|15:42:14|3.7|22.54|Sto Dom Tsachilas 
2018/03/04|15:10:42|4.1|5.12|Esmeraldas 
2018/03/03|23:20:14|3.1|9.59|Tungurahua 
2018/03/03|10:33:10|3.5|1.94|Guayas 
2018/02/27|15:28:40|4|3.49|Galapagos 
2018/02/27|13:11:11|3.6|4.63|Sta Elena 
2018/02/27|09:20:40|4.6|7.95|Guayas 
2018/02/24|22:16:44|3.3|9.36|Galapagos 
2018/02/23|12:57:23|3.8|5.24|Guayas 
2018/02/22|12:18:54|3.6|10.00|Guayas 
2018/02/20|11:26:17|3.9|17.55|Esmeraldas 
2018/02/18|20:09:40|3.7|112.86|Bolivar 
2018/02/17|14:33:49|4.5|16.23|Guayas 
2018/02/16|19:49:34|3.6|7.23|Galapagos 
2018/02/16|18:56:03|3.8|14.73|Esmeraldas 
2018/02/13|10:06:56|3.8|185.44|Pastaza 
2018/02/12|06:09:05|3.5|3.34|Pastaza 
